[5, 6, 10, 11] [5, 3, 5, 8] [55, 63, 105, 118]
[5, 6, 14, 17] [2, 3, 7, 8] [52, 63, 147, 178]
[5, 7, 2, 2] [9, 7, 2, 6] [59, 77, 22, 26]
[5, 7, 6, 9] [2, 7, 6, 6] [52, 77, 66, 96]
[5, 9, 2, 3] [8, 9, 2, 6] [58, 99, 22, 36]
[5, 10, 6, 11] [5, 5, 3, 8] [55, 105, 63, 118]
[5, 14, 2, 3] [9, 7, 1, 8] [59, 147, 21, 38]
[5, 14, 6, 17] [2, 7, 3, 8] [52, 147, 63, 178]
[5, 18, 2, 5] [8, 9, 1, 8] [58, 189, 21, 58]
[6, 3, 5, 2] [9, 3, 5, 5] [69, 33, 55, 25]
[6, 4, 5, 3] [8, 4, 5, 5] [68, 44, 55, 35]
[6, 5, 3, 2] [9, 5, 3, 5] [69, 55, 33, 25]
[6, 5, 4, 3] [8, 5, 4, 5] [68, 55, 44, 35]
[6, 5, 5, 4] [7, 5, 5, 5] [67, 55, 55, 45]
[6, 5, 6, 5] [6, 5, 6, 5] [66, 55, 66, 55]
[6, 5, 7, 6] [5, 5, 7, 5] [65, 55, 77, 65]
[6, 5, 8, 7] [4, 5, 8, 5] [64, 55, 88, 75]
[6, 5, 9, 8] [3, 5, 9, 5] [63, 55, 99, 85]
[6, 5, 10, 6] [8, 2, 4, 8] [68, 52, 104, 68]
[6, 5, 15, 6] [9, 1, 3, 9] [69, 51, 153, 69]
[6, 5, 15, 11] [6, 2, 6, 8] [66, 52, 156, 118]
[6, 5, 20, 11] [8, 1, 4, 9] [68, 51, 204, 119]
[6, 5, 20, 16] [4, 2, 8, 8] [64, 52, 208, 168]
[6, 6, 5, 5] [6, 6, 5, 5] [66, 66, 55, 55]
[6, 7, 5, 6] [5, 7, 5, 5] [65, 77, 55, 65]
[6, 8, 5, 7] [4, 8, 5, 5] [64, 88, 55, 75]
[6, 9, 5, 8] [3, 9, 5, 5] [63, 99, 55, 85]
[6, 10, 5, 6] [8, 4, 2, 8] [68, 104, 52, 68]
[6, 10, 10, 11] [8, 2, 2, 9] [68, 102, 102, 119]
[6, 10, 10, 16] [4, 4, 4, 8] [64, 104, 104, 168]
[6, 15, 5, 6] [9, 3, 1, 9] [69, 153, 51, 69]
[6, 15, 5, 11] [6, 6, 2, 8] [66, 156, 52, 118]
[6, 20, 5, 11] [8, 4, 1, 9] [68, 204, 51, 119]
[6, 20, 5, 16] [4, 8, 2, 8] [64, 208, 52, 168]
[7, 2, 8, 2] [9, 2, 8, 4] [79, 22, 88, 24]
[7, 2, 16, 3] [9, 1, 8, 7] [79, 21, 168, 37]
[7, 4, 4, 2] [9, 4, 4, 4] [79, 44, 44, 24]
[7, 4, 7, 4] [7, 4, 7, 4] [77, 44, 77, 44]
[7, 4, 8, 3] [9, 2, 4, 7] [79, 42, 84, 37]
[7, 4, 14, 7] [7, 2, 7, 7] [77, 42, 147, 77]
[7, 5, 8, 6] [5, 5, 8, 4] [75, 55, 88, 64]
[7, 7, 4, 4] [7, 7, 4, 4] [77, 77, 44, 44]
[7, 8, 2, 2] [9, 8, 2, 4] [79, 88, 22, 24]
[7, 8, 4, 3] [9, 4, 2, 7] [79, 84, 42, 37]
[7, 8, 5, 6] [5, 8, 5, 4] [75, 88, 55, 64]
[7, 8, 8, 10] [1, 8, 8, 4] [71, 88, 88, 104]
[7, 8, 10, 11] [5, 4, 5, 7] [75, 84, 105, 117]
[7, 8, 16, 19] [1, 4, 8, 7] [71, 84, 168, 197]
[7, 10, 8, 11] [5, 5, 4, 7] [75, 105, 84, 117]
[7, 14, 4, 7] [7, 7, 2, 7] [77, 147, 42, 77]
[7, 16, 2, 3] [9, 8, 1, 7] [79, 168, 21, 37]
[7, 16, 8, 19] [1, 8, 4, 7] [71, 168, 84, 197]
[8, 3, 8, 3] [8, 3, 8, 3] [88, 33, 88, 33]
[8, 4, 6, 3] [8, 4, 6, 3] [88, 44, 66, 33]
[8, 5, 9, 6] [5, 5, 9, 3] [85, 55, 99, 63]
[8, 6, 4, 3] [8, 6, 4, 3] [88, 66, 44, 33]
[8, 8, 3, 3] [8, 8, 3, 3] [88, 88, 33, 33]
[8, 9, 5, 6] [5, 9, 5, 3] [85, 99, 55, 63]
[9, 2, 9, 2] [9, 2, 9, 2] [99, 22, 99, 22]
[9, 2, 9, 2] [9, 20, 9, 20] [99, 220, 99, 220]
[9, 2, 18, 3] [9, 1, 9, 6] [99, 21, 189, 36]
[9, 3, 6, 2] [9, 3, 6, 2] [99, 33, 66, 22]
[9, 6, 3, 2] [9, 6, 3, 2] [99, 66, 33, 22]
[9, 6, 6, 3] [9, 3, 3, 6] [99, 63, 63, 36]
[9, 6, 7, 5] [6, 6, 7, 2] [96, 66, 77, 52]
[9, 6, 14, 9] [6, 3, 7, 6] [96, 63, 147, 96]
[9, 7, 6, 5] [6, 7, 6, 2] [96, 77, 66, 52]
[9, 9, 2, 2] [9, 9, 2, 2] [99, 99, 22, 22]
[9, 10, 10, 11] [5, 5, 5, 6] [95, 105, 105, 116]
[9, 14, 6, 9] [6, 7, 3, 6] [96, 147, 63, 96]
[9, 18, 2, 3] [9, 9, 1, 6] [99, 189, 21, 36]
[10, 4, 7, 3] [8, 4, 7, 1] [108, 44, 77, 31]
[10, 7, 4, 3] [8, 7, 4, 1] [108, 77, 44, 31]
[10, 8, 8, 7] [4, 8, 8, 1] [104, 88, 88, 71]
[11, 4, 10, 3] [9, 2, 5, 5] [119, 42, 105, 35]
[11, 5, 15, 6] [8, 2, 6, 6] [118, 52, 156, 66]
[11, 5, 20, 6] [9, 1, 4, 8] [119, 51, 204, 68]
[11, 6, 10, 5] [8, 3, 5, 5] [118, 63, 105, 55]
[11, 8, 10, 7] [7, 4, 5, 5] [117, 84, 105, 75]
[11, 10, 4, 3] [9, 5, 2, 5] [119, 105, 42, 35]
[11, 10, 6, 5] [8, 5, 3, 5] [118, 105, 63, 55]
[11, 10, 8, 7] [7, 5, 4, 5] [117, 105, 84, 75]
[11, 10, 10, 6] [9, 2, 2, 8] [119, 102, 102, 68]
[11, 10, 10, 9] [6, 5, 5, 5] [116, 105, 105, 95]
[11, 10, 12, 11] [5, 5, 6, 5] [115, 105, 126, 115]
[11, 10, 14, 13] [4, 5, 7, 5] [114, 105, 147, 135]
[11, 10, 15, 11] [8, 2, 3, 8] [118, 102, 153, 118]
[11, 10, 16, 15] [3, 5, 8, 5] [113, 105, 168, 155]
